,Biomass [MWh],Hydropower [MWh],Wind offshore [MWh],Wind onshore [MWh],Photovoltaics [MWh],Other renewable [MWh],Nuclear [MWh],Lignite [MWh],Hard coal [MWh],Fossil gas [MWh],Hydro pumped storage [MWh],Other conventional [MWh]
2021-01-01 00:00:00,4597.25,1205,383,3934.5,0,227.0,8144.75,11608.5,3443.75,5649.25,347.25,1638.25
2021-01-01 01:00:00,4584.25,1196.25,394.5,3541.5,0,227.0,8150.25,11602.75,3044.75,5409,518.5,1636.25
2021-01-01 02:00:00,4581.25,1164,305.25,3217,0,227.0,8156.5,11758.5,3067.25,5312,219,1630.5
2021-01-01 03:00:00,4570.75,1179.25,319.25,2787.5,0,227.0,8153.75,12337.5,2852.5,5127,2,1622
2021-01-01 04:00:00,4571,1155,296.25,2492.5,0,231.75,8150.5,12395,2713.25,4993,6,1621.75
2021-01-01 05:00:00,4589.25,1145.5,432,2140.75,0,231.25,8150.25,12699.5,2736.5,5057.5,33.5,1650
2021-01-01 06:00:00,4628.25,1160.5,510.25,2010.75,0,232.75,8154.5,13051,2836.5,5094,89.75,1661.25
2021-01-01 07:00:00,4693,1157.5,389.25,1975,0,232.0,8152.75,12472.5,2952,5169.25,926.25,1661.25
2021-01-01 08:00:00,4766.25,1152.25,359.5,2087.5,194,232.0,8157.5,12435.75,3087.25,5569.25,80.5,1648.5
2021-01-01 09:00:00,4764.75,1163.5,248.25,2123.5,1363.75,231.0,8160,12169.5,3085,6052.5,124.75,1652.25
2021-01-01 10:00:00,4789.5,1158.75,446.75,1920.5,2986.5,231.0,8161.25,11607.75,3057.75,6515.5,96,1663
2021-01-01 11:00:00,4795.5,1159.75,557.5,1627.5,4237.5,231.0,8160.25,11257.25,3044.25,7144.25,119.25,1644
2021-01-01 12:00:00,4738.5,1169.75,668.75,1322.5,4826.75,231.0,8153,10870.5,3186.25,7445.5,372.25,1654.25
2021-01-01 13:00:00,4693.5,1171.25,836.25,1158,4234.25,230.25,8153.5,10875,3150.25,7411.5,266,1660
2021-01-01 14:00:00,4679.25,1166.25,800.25,1244.75,2725,230.25,8154.75,10843,3088,7586.75,271.25,1668
2021-01-01 15:00:00,4692.25,1168,668.25,1564.5,944.75,230.75,8156.75,10855.5,3449,7934.5,295.75,1658.5
2021-01-01 16:00:00,4766.5,1194.25,832.5,2146.25,43.75,231.0,8156,10875,3697,8347.5,2425.75,1671.5
2021-01-01 17:00:00,4862.25,1209.75,751.5,2923,0,231.0,8151,11001.5,4092.75,8388.75,2622.75,1655.25
2021-01-01 18:00:00,4872.75,1204.25,700.25,3571.75,0,231.0,8150.75,11000,4046.25,8464.75,2958.5,1641.5
2021-01-01 19:00:00,4878.75,1181.5,778.25,3930.75,0,231.0,8154.75,11001.25,4092,8478.75,1749.5,1626.5
2021-01-01 20:00:00,4827.25,1197.75,723.25,4202.25,0,231.0,8152.25,11020,3865.25,8412.25,969.5,1665.5
2021-01-01 21:00:00,4778.25,1223.5,642.25,4426.25,0,231.5,8148.75,10901.5,3541.5,8409.5,713,1679.25
2021-01-01 22:00:00,4732.25,1228,841,4695,0,229.0,8141,10797.75,3421,8102.75,1045.5,1659.75
2021-01-01 23:00:00,4682.5,1222.75,590,4619.5,0,229.0,8141.75,10892.25,3031.5,7247.5,222.25,1638.25
2021-01-02 00:00:00,4623.25,1192.25,424.5,4524.25,0,228.0,8093,11345.5,2870,6060.25,61.75,1658.75
2021-01-02 01:00:00,4594.75,1160.25,432.5,4348.25,0,228.0,8120.25,11564,2722.5,5649.75,41.75,1573.5
