time,electricity_price,CO2_emissions
2015-01-01 00:00:00,0.04995 ,319.468
2015-01-01 01:00:00,0.04898 ,327.337
2015-01-01 02:00:00,0.04606 ,324.511
2015-01-01 03:00:00,0.04358 ,334.556
2015-01-01 04:00:00,0.0494 ,343.922
2015-01-01 05:00:00,0.05235 ,353.78
2015-01-01 06:00:00,0.05871 ,353.802
2015-01-01 07:00:00,0.06449 ,348.849
2015-01-01 08:00:00,0.05871 ,321.762
2015-01-01 09:00:00,0.06089 ,296.756
2015-01-01 10:00:00,0.05436 ,273.855
2015-01-01 11:00:00,0.03539 ,261.059
2015-01-01 12:00:00,0.01304 ,241.16
2015-01-01 13:00:00,0.00003 ,224.197
2015-01-01 14:00:00,-0.00001 ,194.56
2015-01-01 15:00:00,-0.00001 ,181.735
2015-01-01 16:00:00,-0.00001 ,178.667
2015-01-01 17:00:00,0.00579 ,181.991
2015-01-01 18:00:00,0.04197 ,202.236
2015-01-01 19:00:00,0.04853 ,216.192
2015-01-01 20:00:00,0.04988 ,212.354
2015-01-01 21:00:00,0.04569 ,206.373
2015-01-01 22:00:00,0.02597 ,195.656
2015-01-01 23:00:00,0.00747 ,179.434
2015-01-02 00:00:00,0.00797 ,178.209
2015-01-02 01:00:00,0.00128 ,174.503
2015-01-02 02:00:00,0.00061 ,173.876
2015-01-02 03:00:00,0.00087 ,172.783
2015-01-02 04:00:00,0.00194 ,170.885
2015-01-02 05:00:00,0.00727 ,165.67
2015-01-02 06:00:00,0.05722 ,167.395
2015-01-02 07:00:00,0.07436 ,178.185
2015-01-02 08:00:00,0.06893 ,167.775
2015-01-02 09:00:00,0.04698 ,138.594
2015-01-02 10:00:00,0.00266 ,122.795
2015-01-02 11:00:00,-0.00006 ,114.519
2015-01-02 12:00:00,-0.00109 ,111.322
2015-01-02 13:00:00,-0.00097 ,111.579
2015-01-02 14:00:00,-0.00007 ,114.097
2015-01-02 15:00:00,0 ,123.184
2015-01-02 16:00:00,0.00431 ,131.54
2015-01-02 17:00:00,0.04146 ,152.812
2015-01-02 18:00:00,0.0727 ,199.966
2015-01-02 19:00:00,0.09539 ,242.929
2015-01-02 20:00:00,0.09488 ,259.091
2015-01-02 21:00:00,0.07813 ,262.06
2015-01-02 22:00:00,0.07486 ,270.794
2015-01-02 23:00:00,0.07088 ,281.582
2015-01-03 00:00:00,0.07413 ,297.774
2015-01-03 01:00:00,0.07175 ,308.233
2015-01-03 02:00:00,0.07005 ,324.997
2015-01-03 03:00:00,0.07251 ,336.037
2015-01-03 04:00:00,0.07234 ,356.519
2015-01-03 05:00:00,0.07871 ,377.201
2015-01-03 06:00:00,0.09491 ,395.15
2015-01-03 07:00:00,0.11793 ,387.654
2015-01-03 08:00:00,0.11793 ,368.894
2015-01-03 09:00:00,0.10098 ,326.949
2015-01-03 10:00:00,0.10735 ,315.955
2015-01-03 11:00:00,0.09081 ,296.7
