,pv cf,electricity_demand_kW,heat_demand_kW,T_outside,cop,Batterystorage->electricity_bus,Bufferstorage->heat_bus,electricity_bus->Batterystorage,electricity_bus->electricity_demand,electricity_bus->electricity_excess,electricity_bus->heat_pump,grid electricity->electricity_bus,heat_bus->Bufferstorage,heat_bus->heat_demand,heat_pump->heat_bus,rooftop pv->electricity_bus,storage_content,storage_content
2015-01-01 00:00:00,0.0,0.125239516666667,0.0,-1.8,3.18372,0.0,0.0,0.0,0.125239516666667,0.0,0.0,0.125239516666667,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.122325066666667,0.0,-2.2,3.17348,0.0,0.0,0.0,0.122325066666667,0.0,0.0,0.122325066666667,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.11497615,0.0,-1.7,3.18628,0.0,0.0,0.0,0.11497615,0.0,0.0,0.11497615,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.115539833333333,0.0,-1.3,3.19652,0.0,0.0,0.0,0.115539833333333,0.0,0.0,0.115539833333333,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.135681383333333,0.0,-1.3,3.19652,0.0,0.0,0.0,0.135681383333333,0.0,0.0,0.135681383333333,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.1216818,0.0,-1.2,3.19908,0.0,0.0,0.0,0.1216818,0.0,0.0,0.1216818,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.12421435,0.0,-0.2,3.22468,0.0,0.0,0.0,0.12421435,0.0,0.0,0.12421435,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,0.0,0.280528166666667,0.0,0.3,3.23748,0.0,0.0,0.0,0.280528166666667,0.0,0.0,0.280528166666667,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,0.0,0.13875845,0.0,0.6,3.24516,0.0,0.0,0.0,0.13875845,0.0,0.0,0.13875845,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,0.00144,0.248106833333333,0.0,0.4,3.24004,0.0,0.0,0.0,0.248106833333333,0.0,0.0,0.176106833333333,0.0,0.0,0.0,0.072,0.0,0.0
2015-01-01 10:00:00,0.0423,0.838092833333333,0.0,0.5,3.2426,0.0,0.0,0.0,0.838092833333333,1.27690716666667,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0
2015-01-01 11:00:00,0.09886,0.7948077,0.0,1.7,3.27332,0.0,0.0,0.0,0.7948077,4.1481923,0.0,0.0,0.0,0.0,0.0,4.943,0.0,0.0
2015-01-01 12:00:00,0.17498,0.3263955,0.0,2.3,3.28868,0.0,0.0,0.134205254519347,0.3263955,8.28839924548065,0.0,0.0,0.0,0.0,0.0,8.749,0.128031812811457,0.0
2015-01-01 13:00:00,0.11668,0.248800666666667,0.0,1.9,3.27844,0.0,0.0,2.78179729635953,0.248800666666667,2.8034020369738,0.0,0.0,0.0,0.0,0.0,5.834,2.78179729635953,0.0
2015-01-01 14:00:00,0.0144,1.15597483333333,0.0,2.0,3.281,0.43597483333333,0.0,0.0,1.15597483333333,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.32329844517659,0.0
2015-01-01 15:00:00,0.0,0.537034176666667,0.0,0.5,3.2426,0.537034176666667,0.0,0.0,0.537034176666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75911495765701,0.0
2015-01-01 16:00:00,0.0,0.53632225,0.0,0.4,3.24004,0.53632225,0.0,0.0,0.53632225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19598238358826,0.0
2015-01-01 17:00:00,0.0,0.591693875,0.0,0.6,3.24516,0.591693875,0.0,0.0,0.591693875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575112365470091,0.0
2015-01-01 18:00:00,0.0,0.640782166666667,0.0,0.9,3.25284,0.548360921772271,0.0,0.0,0.640782166666667,0.0,0.0,0.0924212448943958,0.0,0.0,0.0,0.0,0.0,0.0
