date_time,profile_1,pv_cf,electricity_price,CO2_emissions,P_Charge,P_Discharge,P_Feed-in,P_Purchase,Battery_Storage,SoC,E_purchase,E_feed_in,CO2_generated
2015-01-01 00:00:00,0.15,0.00,0.23,504.92,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.00,76.30
2015-01-01 01:00:00,0.18,0.00,0.22,491.75,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.00,88.63
2015-01-01 02:00:00,0.15,0.00,0.22,487.11,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.00,73.21
2015-01-01 03:00:00,0.15,0.00,0.22,480.94,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.00,71.53
2015-01-01 04:00:00,0.30,0.00,0.22,479.37,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,145.58
2015-01-01 05:00:00,0.18,0.00,0.22,475.49,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.00,83.80
2015-01-01 06:00:00,0.16,0.00,0.22,464.00,0.00,0.00,0.00,0.16,0.00,0.00,0.16,0.00,76.16
2015-01-01 07:00:00,1.18,0.00,0.22,457.20,0.00,0.00,0.00,1.18,0.00,0.00,1.18,0.00,541.03
2015-01-01 08:00:00,0.47,0.00,0.22,457.99,0.00,0.00,0.00,0.47,0.00,0.00,0.47,0.00,216.48
2015-01-01 09:00:00,0.35,0.01,0.22,459.73,0.00,0.00,0.00,0.34,0.00,0.00,0.34,0.00,156.82
2015-01-01 10:00:00,0.58,0.25,0.22,444.71,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,146.77
2015-01-01 11:00:00,1.43,0.59,0.22,423.46,0.00,0.00,0.00,0.84,0.00,0.00,0.84,0.00,353.93
2015-01-01 12:00:00,2.40,1.05,0.22,414.67,0.00,0.00,0.00,1.35,0.00,0.00,1.35,0.00,559.73
2015-01-01 13:00:00,1.53,0.70,0.22,411.04,0.00,0.00,0.00,0.83,0.00,0.00,0.83,0.00,343.07
2015-01-01 14:00:00,0.26,0.09,0.22,421.23,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.00,74.71
2015-01-01 15:00:00,0.30,0.00,0.22,434.68,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,132.48
2015-01-01 16:00:00,0.46,0.00,0.23,447.09,0.00,0.00,0.00,0.46,0.00,0.00,0.46,0.00,206.74
2015-01-01 17:00:00,2.82,0.00,0.23,439.01,0.00,0.00,0.00,2.82,0.00,0.00,2.82,0.00,1237.30
2015-01-01 18:00:00,2.09,0.00,0.23,426.29,0.00,0.00,0.00,2.09,0.00,0.00,2.09,0.00,893.02
2015-01-01 19:00:00,0.71,0.00,0.23,415.63,0.00,0.00,0.00,0.71,0.00,0.00,0.71,0.00,293.95
2015-01-01 20:00:00,1.11,0.00,0.22,403.69,0.00,0.00,0.00,1.11,0.00,0.00,1.11,0.00,449.69
2015-01-01 21:00:00,1.76,0.00,0.22,393.91,0.00,0.00,0.00,1.76,0.00,0.00,1.76,0.00,695.22
2015-01-01 22:00:00,0.90,0.00,0.22,359.44,0.00,0.00,0.00,0.90,0.00,0.00,0.90,0.00,323.29
2015-01-01 23:00:00,0.54,0.00,0.20,352.32,0.00,0.00,0.00,0.54,0.00,0.00,0.54,0.00,189.78
2015-01-02 00:00:00,0.40,0.00,0.19,344.66,0.00,0.00,0.00,0.40,0.00,0.00,0.40,0.00,136.43
2015-01-02 01:00:00,0.41,0.00,0.18,345.66,0.00,0.00,0.00,0.41,0.00,0.00,0.41,0.00,142.01
2015-01-02 02:00:00,0.29,0.00,0.18,342.83,0.00,0.00,0.00,0.29,0.00,0.00,0.29,0.00,99.84
2015-01-02 03:00:00,0.29,0.00,0.16,336.32,0.00,0.00,0.00,0.29,0.00,0.00,0.29,0.00,97.07
2015-01-02 04:00:00,0.18,0.00,0.15,329.36,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.00,57.83
2015-01-02 05:00:00,0.17,0.00,0.19,329.92,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,54.77
2015-01-02 06:00:00,0.18,0.00,0.20,329.86,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.00,59.58
2015-01-02 07:00:00,0.22,0.01,0.21,331.83,0.00,0.00,0.00,0.21,0.00,0.00,0.21,0.00,70.90
2015-01-02 08:00:00,0.17,0.24,0.22,340.12,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.00
2015-01-02 09:00:00,0.25,0.81,0.22,351.38,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.56,0.00
2015-01-02 10:00:00,0.22,2.08,0.22,358.36,0.00,0.00,1.86,0.00,0.00,0.00,0.00,1.86,0.00
2015-01-02 11:00:00,0.22,2.75,0.22,358.73,0.00,0.00,2.53,0.00,0.00,0.00,0.00,2.53,0.00
2015-01-02 12:00:00,1.50,2.66,0.22,360.16,0.00,0.00,1.16,0.00,0.00,0.00,0.00,1.16,0.00
2015-01-02 13:00:00,0.38,1.64,0.22,348.53,0.00,0.00,1.26,0.00,0.00,0.00,0.00,1.26,0.00
2015-01-02 14:00:00,0.84,0.35,0.22,350.18,0.00,0.00,0.00,0.49,0.00,0.00,0.49,0.00,170.63
2015-01-02 15:00:00,0.82,0.00,0.22,366.37,0.00,0.00,0.00,0.82,0.00,0.00,0.82,0.00,300.56
2015-01-02 16:00:00,1.41,0.00,0.22,371.72,0.00,0.00,0.00,1.41,0.00,0.00,1.41,0.00,523.88
2015-01-02 17:00:00,1.71,0.00,0.23,377.34,0.00,0.00,0.00,1.71,0.00,0.00,1.71,0.00,644.46
2015-01-02 18:00:00,1.31,0.00,0.23,368.68,0.00,0.00,0.00,1.31,0.00,0.00,1.31,0.00,483.74
2015-01-02 19:00:00,0.62,0.00,0.23,366.23,0.00,0.00,0.00,0.62,0.00,0.00,0.62,0.00,226.73
2015-01-02 20:00:00,0.58,0.00,0.22,347.76,0.00,0.00,0.00,0.58,0.00,0.00,0.58,0.00,202.98
2015-01-02 21:00:00,0.51,0.00,0.22,346.74,0.00,0.00,0.00,0.51,0.00,0.00,0.51,0.00,175.78
2015-01-02 22:00:00,0.44,0.00,0.21,343.58,0.00,0.00,0.00,0.44,0.00,0.00,0.44,0.00,150.73
2015-01-02 23:00:00,0.20,0.00,0.20,333.73,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,65.52
2015-01-03 00:00:00,0.15,0.00,0.20,326.89,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.00,49.20
2015-01-03 01:00:00,0.22,0.00,0.20,327.78,0.00,0.00,0.00,0.22,0.00,0.00,0.22,0.00,71.25
2015-01-03 02:00:00,0.15,0.00,0.20,330.11,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.00,49.65
